market_id,model,n_train,n_test,rmse,mae,mape,directional_acc
507876,lstm,197,50,0.32972709106464865,0.2066971448802948,3.833475232368835,0.4897959183673469
507876,transformer,197,50,0.32651401120105267,0.2148754580974579,3.7960174490735965,0.5306122448979592
508806,naive,192,48,0.44884448285755574,0.31240625,2.5024180445804736,0.0
508806,ma5,192,48,0.344800393041636,0.2825020833333333,1.9867955078318758,0.0
508806,arima,192,48,0.3656979276291255,0.2815972735986619,2.111870515627819,0.19148936170212766
508806,lstm,192,48,0.3682290219622657,0.28320801943540574,2.1182426716324905,0.5319148936170213
508806,transformer,192,48,0.3664270351234769,0.280543308566014,2.11905849611739,0.3829787234042553
508809,naive,192,48,0.33278107637254056,0.21538541666666666,1.4846166701256263,0.06382978723404255
508809,ma5,192,48,0.2660550831908059,0.20446875,1.2069475684050293,0.06382978723404255
508809,arima,192,48,0.266231121899117,0.20508960408302954,1.2059419321400286,0.1276595744680851
508809,lstm,192,48,0.26491453582752994,0.20727823861440023,1.190154698910298,0.44680851063829785
508809,transformer,192,48,0.2629965618974609,0.19965343063076335,1.1995712971444012,0.5957446808510638
507863,naive,189,48,0.3189749777934522,0.1334479166666667,4.7555208215944225,0.10638297872340426
507863,ma5,189,48,0.31424896413247466,0.26076041666666677,3.9954985036610418,0.10638297872340426
507863,arima,189,48,0.3074971748346814,0.23567978651392352,4.139570525303893,0.1702127659574468
507863,lstm,189,48,0.307833040812754,0.23786007768909134,4.128355975624689,0.425531914893617
507863,transformer,189,48,0.3075117075842423,0.23711535987257956,4.119369947210911,0.425531914893617
508821,naive,189,48,0.3228202947590708,0.1932604166666667,1.465193453965667,0.0
508821,ma5,189,48,0.2586135006304453,0.1774895833333333,1.168778581826787,0.0
508821,arima,189,48,0.26110742747212795,0.16685119573907217,1.20341187852968,0.2127659574468085
508821,lstm,189,48,0.2588953228983988,0.17573035824298858,1.1741292285136675,0.23404255319148937
508821,transformer,189,48,0.2593608392376433,0.1689657091399034,1.1933364938606608,0.5106382978723404
508823,naive,189,48,0.18433366768354248,0.12992708333333336,1.2621832745075492,0.1702127659574468
508823,ma5,189,48,0.19146242287979126,0.1383854166666667,1.3189336914354313,0.1702127659574468
508823,arima,189,48,0.18849242507946057,0.13442011773091264,1.2948488873692527,0.23404255319148937
508823,lstm,189,48,0.2482930252948806,0.20244265579183895,1.697246313634751,0.2978723404255319
508823,transformer,189,48,0.2681218813685358,0.22682467458645503,1.8142837636634852,0.23404255319148937
507857,naive,188,47,0.1768932843342369,0.08893617021276597,0.2471033739304844,0.2391304347826087
507857,ma5,188,47,0.1768932843342369,0.08893617021276597,0.2471033739304844,0.2391304347826087
507857,arima,188,47,0.17520342062353356,0.11753269997271111,0.27144436346328926,0.21739130434782608
507865,naive,186,47,0.3488666223827753,0.14377659574468088,2.5971833822318526,0.10869565217391304
507865,ma5,186,47,0.32630967702345104,0.26401063829787236,2.229922932964439,0.10869565217391304
507865,arima,186,47,0.32273540429946085,0.22864206806340842,2.330548503533734,0.391304347826087
507861,naive,185,47,0.3031537598771613,0.1402340425531915,0.9575524456589004,0.0
507861,ma5,185,47,0.2834893284794017,0.23515106382978726,0.9009257806787312,0.0
507861,arima,185,47,0.2811973402714864,0.21220842717439525,0.9133064388185919,0.17391304347826086
508814,naive,181,46,0.36031100696360974,0.20008695652173913,2.4289524507024667,0.08888888888888889
508814,ma5,181,46,0.3399051338241304,0.2852391304347827,2.103677826428645,0.08888888888888889
508814,arima,181,46,0.3400297219522158,0.2849674334513047,2.1066190965729716,0.24444444444444444
508799,naive,180,45,0.15043086267267247,0.0838888888888889,0.1964105810777353,0.11363636363636363
508799,ma5,180,45,0.14067930432962295,0.0816888888888889,0.20394252163470972,0.11363636363636363
508799,arima,180,45,0.13894034859144483,0.08457889844829367,0.2138744445874583,0.18181818181818182
507866,naive,178,45,0.3844472366629494,0.15604444444444446,10.647599101212009,0.045454545454545456
507866,ma5,178,45,0.35452463007996127,0.28326222222222225,8.68135025120855,0.045454545454545456
507866,arima,178,45,0.35289464530407466,0.2680746109573925,8.90920928315464,0.25
